Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Link),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
As a user I want to register myself so that I can subscribe the website,MO-1,10000,Story,Blocked,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,,,,divya suman,620dd6bb07f51e00694431d1,divya suman,620dd6bb07f51e00694431d1,17/Feb/22 10:56 AM,17/Feb/22 3:08 PM,21/Feb/22 9:54 AM,,,0,"Requirements:

Following are mandatory fields:

Name

Email

User name

Password

Confirm password

Phone

Following fields can accept mix of alphabets, numbers and special characters of maximum 30 length:

Email

User name

Password

Confirm password

Name Field should only accept alphabets of maximum 100 characters

Phone field should only accept numbers of 10 digit except country code",,divya suman,620dd6bb07f51e00694431d1,,,,,,,,,,MO-34,MO-8,,,,,,,,,,,{},,,,0|hzzzzz:,,Signup sprint,,,,,,,,In Progress
Verify the name field with special characters,MO-2,10001,Test,In Progress,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:58 AM,17/Feb/22 3:22 PM,17/Feb/22 11:27 AM,,,0,"Acceptance criteria:

Name field should contain alphabets only",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i00007:,,Signup sprint,,,,,,,,In Progress
Verify the name field with blank value,MO-3,10002,Test,Done,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,Done,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:58 AM,18/Feb/22 2:43 PM,18/Feb/22 2:58 PM,17/Feb/22 3:05 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i0000f:,,Signup sprint,,,,,,,,Done
Verify the name field with digits,MO-4,10003,Test,In Progress,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:58 AM,17/Feb/22 3:22 PM,17/Feb/22 2:07 PM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i0000n:,,Signup sprint,,,,,,,,In Progress
Verify the name field with more than 100 characters,MO-5,10004,Test,In Progress,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:58 AM,17/Feb/22 3:22 PM,18/Feb/22 3:28 PM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i0000v:,,Signup sprint,,,,,,,,In Progress
Verify the name field with asterisk sign (*),MO-6,10005,Test,Done,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,Done,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:58 AM,17/Feb/22 3:06 PM,21/Feb/22 9:59 AM,17/Feb/22 3:06 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i00013:,,Signup sprint,,,,,,,,Done
Verify the name field with input type,MO-7,10006,Test,Done,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,Done,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:58 AM,17/Feb/22 3:06 PM,21/Feb/22 9:59 AM,17/Feb/22 3:06 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i0001b:,,Signup sprint,,,,,,,,Done
Verify the name field with  white space,MO-8,10007,Test,In Progress,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:58 AM,17/Feb/22 3:22 PM,17/Feb/22 2:27 PM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0001j:,,Signup sprint,,,,,,,,In Progress
Verify the name field with UPPER CASE,MO-9,10008,Test,Done,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,Done,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:58 AM,17/Feb/22 3:03 PM,21/Feb/22 9:59 AM,17/Feb/22 3:03 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i0001r:,,Signup sprint,,,,,,,,Done
Verify the name field with lower case,MO-10,10009,Test,Done,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,Done,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:58 AM,17/Feb/22 3:04 PM,21/Feb/22 9:59 AM,17/Feb/22 3:04 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i0001z:,,Signup sprint,,,,,,,,Done
Verify the default value of name field,MO-11,10010,Test,Done,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,Done,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:58 AM,17/Feb/22 3:05 PM,17/Feb/22 11:52 AM,17/Feb/22 3:05 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i00027:,,Signup sprint,,,,,,,,Done
"Verify the Email fomat as ""example@xyz.com""",MO-12,10011,Test,Done,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,Done,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:58 AM,17/Feb/22 3:06 PM,21/Feb/22 9:59 AM,17/Feb/22 3:06 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i0002f:,,Signup sprint,,,,,,,,Done
Verify the email field with blank value,MO-13,10012,Test,Done,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,Done,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:58 AM,17/Feb/22 3:06 PM,21/Feb/22 9:59 AM,17/Feb/22 3:06 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i0002n:,,Signup sprint,,,,,,,,Done
Verify the email field with more than 30 character,MO-14,10013,Test,In Progress,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:58 AM,17/Feb/22 3:23 PM,21/Feb/22 9:59 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i0002v:,,Signup sprint,,,,,,,,In Progress
Verify the email field with no space,MO-15,10014,Test,Done,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,Done,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:58 AM,17/Feb/22 3:07 PM,21/Feb/22 9:59 AM,17/Feb/22 3:07 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i00033:,,Signup sprint,,,,,,,,Done
Verify the email field with blank value,MO-16,10015,Test,Done,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,Done,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:58 AM,17/Feb/22 3:07 PM,21/Feb/22 9:59 AM,17/Feb/22 3:07 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i0003b:,,Signup sprint,,,,,,,,Done
Verify the  email field with asterisk(*) sign,MO-17,10016,Test,Done,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,Done,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:58 AM,17/Feb/22 3:07 PM,21/Feb/22 9:59 AM,17/Feb/22 3:07 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i0003j:,,Signup sprint,,,,,,,,Done
Verify the username with more than 30 characters. ,MO-18,10017,Test,In Progress,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:58 AM,17/Feb/22 3:23 PM,17/Feb/22 2:47 PM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i0003r:,,Signup sprint,,,,,,,,In Progress
Verify the username field with blank value. ,MO-19,10018,Test,Done,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,Done,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:58 AM,17/Feb/22 3:04 PM,17/Feb/22 11:45 AM,17/Feb/22 3:04 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i0003z:,,Signup sprint,,,,,,,,Done
Verify the username field with special character,MO-20,10019,Test,Done,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,Done,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:58 AM,17/Feb/22 3:06 PM,17/Feb/22 11:56 AM,17/Feb/22 3:06 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i00047:,,Signup sprint,,,,,,,,Done
Verify the username field with white space. ,MO-21,10020,Test,In Progress,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:58 AM,17/Feb/22 3:22 PM,17/Feb/22 11:54 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i0004f:,,Signup sprint,,,,,,,,In Progress
Verify the user name with less than 2 character,MO-22,10021,Test,Done,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,Done,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:59 AM,17/Feb/22 3:07 PM,21/Feb/22 9:59 AM,17/Feb/22 3:07 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i0004n:,,Signup sprint,,,,,,,,Done
Verify the phone no. with digit,MO-23,10022,Test,Done,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,Done,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:59 AM,17/Feb/22 3:05 PM,21/Feb/22 9:59 AM,17/Feb/22 3:05 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i0004v:,,Signup sprint,,,,,,,,Done
Verify the phone no. field with alphabets. ,MO-24,10023,Test,In Progress,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:59 AM,17/Feb/22 3:23 PM,21/Feb/22 9:59 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i00053:,,Signup sprint,,,,,,,,In Progress
Verify the phone no. field with Special character. ,MO-25,10024,Test,In Progress,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:59 AM,17/Feb/22 3:22 PM,17/Feb/22 11:31 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i0005b:,,Signup sprint,,,,,,,,In Progress
Verify the length of value of phone no. field with more than 10 digits accept country code,MO-26,10025,Test,In Progress,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:59 AM,17/Feb/22 3:22 PM,21/Feb/22 9:59 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i0005j:,,Signup sprint,,,,,,,,In Progress
Verify the length of value of phone no. with less than 10 digits. ,MO-27,10026,Test,In Progress,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:59 AM,17/Feb/22 3:23 PM,21/Feb/22 9:59 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i0005r:,,Signup sprint,,,,,,,,In Progress
Verify the phone no. field with white space.,MO-28,10027,Test,In Progress,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:59 AM,17/Feb/22 3:23 PM,21/Feb/22 9:59 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i0005z:,,Signup sprint,,,,,,,,In Progress
Verify the phone no. field with blank. ,MO-29,10028,Test,In Progress,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:59 AM,17/Feb/22 3:23 PM,21/Feb/22 9:59 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i00067:,,Signup sprint,,,,,,,,In Progress
Verify the phone no. field with starting digit <6,MO-30,10029,Test,In Progress,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:59 AM,17/Feb/22 3:23 PM,21/Feb/22 9:59 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i0006f:,,Signup sprint,,,,,,,,In Progress
"Verify the password field with combination of special chracter, alphabets and numers",MO-31,10030,Test,Done,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,Done,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:59 AM,17/Feb/22 3:05 PM,21/Feb/22 9:59 AM,17/Feb/22 3:05 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i0006n:,,Signup sprint,,,,,,,,Done
